Messort_Code;Messort_Name;Messort_Typ;Latitude;Longitude;Latitude_WGS84;Longitude_WGS84;X_LV95;Y_LV95;Messintervall;Gemeinde;Strasse_Nr;PLZ
1;Schulhaus Werd;Schulhaus;47 18 57.4;8 31 39.1;47.31594444;8.527527778;2682328;1241134;Wiederholungsmessung;Adliswil;NA;NA
2;Schulhaus im Bruggen;Schulhaus;47 19 23.2;8 28 14.3;47.32311111;8.470638889;2678016;1241873;Wiederholungsmessung;Bonstetten;NA;NA
3;Schulhaus Luberzen;Schulhaus;47 23 48.5;8 25 17.7;47.39680556;8.421583333;2674205;1250018;Wiederholungsmessung;Dietikon;NA;NA
4;Schulhaus Spilbrett;Schulhaus;47 41 30.0;8 38 21.0;47.69166667;8.639166667;2690129;1283028;Wiederholungsmessung;Feuerthalen;NA;NA
5;Bahnhof Feuerthalen;Bahnhof;47 41 31.1;8 38 45.9;47.69197222;8.646083333;2690647;1283070;Wiederholungsmessung;Feuerthalen;NA;NA
6;Schulhaus Hinterwiden;Schulhaus;47 26 46.9;8 34 31.8;47.44636111;8.5755;2685744;1255684;Wiederholungsmessung;Kloten;NA;NA
7;Schulhaus Hirschengraben;Schulhaus;47 22 24.8;8 32 52.0;47.37355556;8.547777778;2683768;1247560;Wiederholungsmessung;Stadt Zürich;NA;NA
8;Schulhaus Gabler;Schulhaus;47 21 36.7;8 31 48.7;47.36019444;8.530194444;2682461;1246056;Wiederholungsmessung;Stadt Zürich;NA;NA
9;Schulhaus Döltschi;Schulhaus;47 21 49.9;8 29 57.5;47.36386111;8.499305556;2680122;1246432;Wiederholungsmessung;Stadt Zürich;NA;NA
10;Schulhaus Albisriederplatz;Schulhaus;47 22 46.7;8 30 31.0;47.37963889;8.508611111;2680801;1248196;Wiederholungsmessung;Stadt Zürich;NA;NA
11;Schulhaus Kornhaus;Schulhaus;47 23 10.5;8 31 51.0;47.38625;8.530833333;2682469;1248954;Wiederholungsmessung;Stadt Zürich;NA;NA
12;Schulhaus Hutten;Schulhaus;47 22 55.4;8 32 56.2;47.38205556;8.548944444;2683843;1248506;Wiederholungsmessung;Stadt Zürich;NA;NA
13;Schulhaus Pünt;Schulhaus;47 20 56.2;8 42 47.6;47.34894444;8.713222222;2696307;1245014;Wiederholungsmessung;Uster;NA;NA
