Freq_min,Freq_max,ServiceName,Kategorie,Schwellenwert_MR_Vm,gueltig_von,gueltig_bis
88000000,108000000,FM,Rundfunk,0.02915,2011-01-01,2019-12-31
88000000,108000000,UKW Radio,Rundfunk,0.02915,2020-01-01,2023-12-31
87500000,108000000,FM Radio,Rundfunk,0.02975,2024-06-01,2024-12-31
87500000,108000000,FM Radio,Rundfunk,0.2957,2025-01-01,NA
174000000,230000000,DAB/DVB-T,Rundfunk,0.03028,2011-01-01,2023-12-31
174000000,230000000,DAB/DAB+,Rundfunk,0.02901,2024-06-01,2024-12-31
174000000,230000000,DAB/DAB+,Rundfunk,0.02905,2025-01-01,NA
380000000,400000000,TETRA,Mobilfunk,0.012,2011-01-01,2023-12-31
380000000,395000000,Polycom,Mobilfunk,0.01043,2024-06-01,2024-12-31
380000000,395000000,Polycom,Mobilfunk,0.01041,2025-01-01,NA
410000000,440000000,Amateur/ISM433,,0.01408,2024-06-01,2024-12-31
410000000,440000000,Amateur/ISM433,,0.01405,2025-01-01,NA
441000000,470000000,PMR/PAMR,,0.01335,2024-06-01,2024-12-31
441000000,470000000,PMR/PAMR,,0.01331,2025-01-01,NA
470000000,862000000,DAB/DVB-T/Techn,Rundfunk,0.0337,2011-01-01,2014-12-31
470000000,790000000,DAB/DVB-T/Techn,Rundfunk,0.0337,2015-01-01,2019-12-31
470000000,694000000,DAB/DVB-T/Techn,Rundfunk,0.0337,2020-01-01,2023-12-31
470000000,608000000,Broadcast 1,Rundfunk,0.02649,2024-06-01,2024-12-31
470000000,608000000,Broadcast 1,Rundfunk,0.02637,2025-01-01,NA
608000000,614000000,Broadcast 2,Rundfunk,0.005129,2024-06-01,2024-12-31
608000000,614000000,Broadcast 2,Rundfunk,0.005107,2025-01-01,NA
614000000,694000000,Broadcast 3,Rundfunk,0.01878,2024-06-01,2024-12-31
614000000,694000000,Broadcast 3,Rundfunk,0.0187,2025-01-01,NA
703000000,733000000,700 MHZ up,Mobilfunk,0.02653,2020-01-01,2023-12-31
703000000,733000000,Mobile 700 UL,Mobilfunk,0.01156,2024-06-01,2024-12-31
703000000,733000000,Mobile 700 Up,Mobilfunk,0.0115,2025-01-01,NA
743000000,753000000,Mobile 700 DL,Mobilfunk,0.006682,2024-06-01,2024-12-31
